Timestamp,State,Mode,Probability,Confidence,InputIdleTime
2026-02-12 22:42:56.709,Active,Interactive,0.997,0.95,0.06
2026-02-12 22:42:56.742,Active,Interactive,0.997,0.95,0.09
2026-02-12 22:42:56.772,Active,Interactive,0.996,0.95,0.12
2026-02-12 22:42:56.803,Active,Interactive,0.996,0.95,0.15
2026-02-12 22:42:56.834,Active,Interactive,0.996,0.95,0.18
2026-02-12 22:42:56.866,Active,Interactive,0.996,0.95,0.22
2026-02-12 22:42:56.898,Active,Interactive,0.996,0.95,0.25
2026-02-12 22:42:56.928,Active,Interactive,0.994,0.95,0.28
2026-02-12 22:42:56.981,Active,Interactive,0.993,0.95,0.33
2026-02-12 22:42:57.006,Active,Interactive,0.991,0.95,0.36
2026-02-12 22:42:57.039,Active,Interactive,0.989,0.95,0.39
2026-02-12 22:42:57.069,Active,Interactive,0.987,0.95,0.42
2026-02-12 22:42:57.100,Active,Interactive,0.986,0.95,0.45
2026-02-12 22:42:57.131,Active,Interactive,0.985,0.95,0.48
2026-02-12 22:42:57.161,Active,Interactive,0.983,0.95,0.51
2026-02-12 22:42:57.192,Active,Interactive,0.982,0.95,0.54
2026-02-12 22:42:57.224,Active,Interactive,0.981,0.95,0.57
2026-02-12 22:42:57.256,Active,Interactive,0.979,0.95,0.61
2026-02-12 22:42:57.287,Active,Interactive,0.978,0.95,0.64
2026-02-12 22:42:57.335,Active,Interactive,0.977,0.95,0.69
2026-02-12 22:42:57.364,Active,Interactive,0.976,0.95,0.71
2026-02-12 22:42:57.397,Active,Interactive,0.974,0.95,0.75
2026-02-12 22:42:57.429,Active,Interactive,0.973,0.95,0.78
2026-02-12 22:42:57.462,Active,Interactive,0.972,0.95,0.81
2026-02-12 22:42:57.491,Active,Interactive,0.971,0.95,0.84
2026-02-12 22:42:57.524,Active,Interactive,0.97,0.95,0.87
2026-02-12 22:42:57.553,Active,Interactive,0.968,0.95,0.9
2026-02-12 22:42:57.585,Active,Interactive,0.967,0.95,0.93
2026-02-12 22:42:57.640,Active,Interactive,0.966,0.95,0.99
2026-02-12 22:42:57.663,Active,Interactive,0.965,0.95,1.01
2026-02-12 22:42:57.701,Passive,Non-Interactive,0.908,0.7,1.05
2026-02-12 22:42:57.724,Passive,Non-Interactive,0.851,0.7,1.07
2026-02-12 22:42:57.757,Passive,Non-Interactive,0.794,0.7,1.11
2026-02-12 22:42:57.786,Active,Non-Interactive,0.778,0.85,1.14
2026-02-12 22:42:57.817,Active,Non-Interactive,0.761,0.85,1.17
2026-02-12 22:42:57.879,Active,Non-Interactive,0.745,0.85,1.23
2026-02-12 22:42:57.911,Active,Non-Interactive,0.728,0.85,1.26
2026-02-12 22:42:57.941,Active,Non-Interactive,0.712,0.85,1.29
2026-02-12 22:42:57.972,Active,Non-Interactive,0.696,0.85,1.32
2026-02-12 22:42:58.010,Active,Non-Interactive,0.68,0.85,1.36
2026-02-12 22:42:58.035,Active,Interactive,0.74,0.95,0.01
2026-02-12 22:42:58.069,Active,Interactive,0.8,0.95,0.01
2026-02-12 22:42:58.098,Active,Interactive,0.86,0.95,0.0
2026-02-12 22:42:58.129,Active,Interactive,0.88,0.95,0.03
2026-02-12 22:42:58.183,Active,Interactive,0.9,0.95,0.09
2026-02-12 22:42:58.207,Active,Interactive,0.919,0.95,0.11
2026-02-12 22:42:58.245,Active,Interactive,0.939,0.95,0.15
2026-02-12 22:42:58.268,Active,Interactive,0.958,0.95,0.17
2026-02-12 22:42:58.301,Active,Interactive,0.977,0.95,0.2
2026-02-12 22:42:58.333,Active,Interactive,0.996,0.95,0.24
2026-02-12 22:42:58.363,Active,Interactive,0.995,0.95,0.27
2026-02-12 22:42:58.394,Active,Interactive,0.993,0.95,0.3
2026-02-12 22:42:58.423,Active,Interactive,0.992,0.95,0.33
2026-02-12 22:42:58.454,Active,Interactive,0.99,0.95,0.36
2026-02-12 22:42:58.487,Active,Interactive,0.988,0.95,0.39
2026-02-12 22:42:58.535,Active,Interactive,0.989,0.95,0.0
2026-02-12 22:42:58.562,Active,Interactive,0.99,0.95,0.0
2026-02-12 22:42:58.597,Active,Interactive,0.99,0.95,0.0
2026-02-12 22:42:58.624,Active,Interactive,0.991,0.95,0.0
2026-02-12 22:42:58.663,Active,Interactive,0.992,0.95,0.0
2026-02-12 22:42:58.686,Active,Interactive,0.994,0.95,0.0
2026-02-12 22:42:58.724,Active,Interactive,0.995,0.95,0.0
